[2025-10-07 08:38:19.211 +07:00 INF] Starting OrderFood_SW web host...
[2025-10-07 08:38:19.736 +07:00 INF] Application started. Press Ctrl+C to shut down.
[2025-10-07 08:38:19.737 +07:00 INF] Hosting environment: Development
[2025-10-07 08:38:19.738 +07:00 INF] Content root path: D:\workspace\C#\SW_Web\OrderFood_SW\OrderFood_SW
[2025-10-07 08:38:20.537 +07:00 WRN] Failed to determine the https port for redirect.
[2025-10-07 08:38:23.041 +07:00 INF] HTTP GET / responded 302 in 2509.2019 ms
[2025-10-07 08:38:24.457 +07:00 INF] HTTP GET /Account/Login responded 200 in 1359.7254 ms
[2025-10-07 08:38:24.493 +07:00 INF] HTTP GET /css/user-login.css responded 304 in 5.4639 ms
[2025-10-07 08:38:24.495 +07:00 INF] HTTP GET /js/Login.js responded 404 in 8.0605 ms
[2025-10-07 08:38:26.657 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 302 in 1.3103 ms
[2025-10-07 08:38:31.801 +07:00 WRN] No store type was specified for the decimal property 'DishPrice' on entity type 'Dish'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-07 08:38:31.803 +07:00 WRN] No store type was specified for the decimal property 'TotalAmount' on entity type 'Order'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-07 08:38:34.074 +07:00 INF] HTTP POST /Account/Login responded 302 in 3160.7439 ms
[2025-10-07 08:38:34.462 +07:00 INF] HTTP GET /Home responded 200 in 374.8915 ms
[2025-10-07 08:38:36.215 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.5720 ms
[2025-10-07 08:38:36.746 +07:00 INF] HTTP GET /Notification/PollNotifications responded 200 in 2093.7838 ms
[2025-10-07 08:38:42.118 +07:00 INF] HTTP GET /Notification/PollNotifications responded 200 in 5.7290 ms
[2025-10-07 08:38:43.580 +07:00 INF] HTTP GET / responded 302 in 9.9447 ms
[2025-10-07 08:38:43.598 +07:00 INF] HTTP GET /Account/Login responded 200 in 10.1056 ms
[2025-10-07 08:38:43.665 +07:00 INF] HTTP GET /js/Login.js responded 404 in 0.9625 ms
[2025-10-07 08:38:43.667 +07:00 INF] HTTP GET /css/user-login.css responded 200 in 7.7883 ms
[2025-10-07 08:38:43.804 +07:00 INF] HTTP GET /favicon.ico responded 200 in 17.9032 ms
[2025-10-07 08:38:48.103 +07:00 INF] HTTP GET /Notification/PollNotifications responded 200 in 2.7074 ms
[2025-10-07 08:38:50.098 +07:00 INF] HTTP POST /Account/Login responded 302 in 145.4243 ms
[2025-10-07 08:38:50.128 +07:00 INF] HTTP GET /Home responded 200 in 25.0810 ms
[2025-10-07 08:38:50.189 +07:00 INF] HTTP GET /themes/bower_components/font-awesome/css/font-awesome.min.css responded 200 in 33.1198 ms
[2025-10-07 08:38:50.189 +07:00 INF] HTTP GET /themes/dist/css/skins/_all-skins.min.css responded 200 in 27.9306 ms
[2025-10-07 08:38:50.191 +07:00 INF] HTTP GET /images/Users/3679c1c3-e8f6-4c55-bb73-f16c9de09905.png responded 200 in 34.3091 ms
[2025-10-07 08:38:50.191 +07:00 INF] HTTP GET /themes/bower_components/bootstrap/dist/css/bootstrap.min.css responded 200 in 44.6340 ms
[2025-10-07 08:38:50.193 +07:00 INF] HTTP GET /themes/bower_components/Ionicons/css/ionicons.min.css responded 200 in 37.0815 ms
[2025-10-07 08:38:50.218 +07:00 INF] HTTP GET /themes/dist/css/AdminLTE.min.css responded 200 in 36.3831 ms
[2025-10-07 08:38:50.374 +07:00 INF] HTTP GET /themes/bower_components/fastclick/lib/fastclick.js responded 200 in 177.7593 ms
[2025-10-07 08:38:50.379 +07:00 INF] HTTP GET /themes/bower_components/jquery-slimscroll/jquery.slimscroll.min.js responded 200 in 181.9110 ms
[2025-10-07 08:38:50.382 +07:00 INF] HTTP GET /themes/bower_components/bootstrap/dist/js/bootstrap.min.js responded 200 in 186.0437 ms
[2025-10-07 08:38:50.416 +07:00 INF] HTTP GET /themes/bower_components/jquery/dist/jquery.min.js responded 200 in 220.6737 ms
[2025-10-07 08:38:50.422 +07:00 INF] HTTP GET /themes/dist/js/demo.js responded 200 in 195.7240 ms
[2025-10-07 08:38:50.423 +07:00 INF] HTTP GET /themes/dist/js/adminlte.min.js responded 200 in 223.1024 ms
[2025-10-07 08:38:50.426 +07:00 INF] HTTP GET /themes/bower_components/font-awesome/fonts/fontawesome-webfont.woff2 responded 200 in 20.2350 ms
[2025-10-07 08:38:50.445 +07:00 INF] HTTP GET /Notification/PollNotifications responded 200 in 2.2830 ms
