[2025-10-06 09:16:29.584 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.0945 ms
[2025-10-06 09:16:30.738 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.9190 ms
[2025-10-06 09:16:31.929 +07:00 INF] HTTP GET /Order/OrderList responded 200 in 38.3401 ms
[2025-10-06 09:16:33.576 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 3.7399 ms
[2025-10-06 09:16:34.549 +07:00 INF] HTTP GET /Statistic/Order responded 200 in 248.1418 ms
[2025-10-06 09:16:34.646 +07:00 INF] HTTP GET /css/ad-statistic-style/order.css responded 200 in 1.2277 ms
[2025-10-06 09:16:36.832 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.5397 ms
[2025-10-06 09:16:45.186 +07:00 INF] HTTP GET /Statistic/Revenue responded 200 in 153.3344 ms
[2025-10-06 09:16:45.261 +07:00 INF] HTTP GET /css/ad-statistic-style/revenue.css responded 200 in 4.9103 ms
[2025-10-06 09:16:47.278 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.6751 ms
[2025-10-06 09:20:39.128 +07:00 INF] Starting OrderFood_SW web host...
[2025-10-06 09:20:39.472 +07:00 INF] Application started. Press Ctrl+C to shut down.
[2025-10-06 09:20:39.474 +07:00 INF] Hosting environment: Development
[2025-10-06 09:20:39.475 +07:00 INF] Content root path: D:\workspace\C#\SW_Web\OrderFood_SW\OrderFood_SW
[2025-10-06 09:20:39.528 +07:00 WRN] Failed to determine the https port for redirect.
[2025-10-06 09:20:43.387 +07:00 WRN] No store type was specified for the decimal property 'DishPrice' on entity type 'Dish'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 09:20:43.387 +07:00 WRN] No store type was specified for the decimal property 'TotalAmount' on entity type 'Order'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 09:20:46.920 +07:00 INF] HTTP GET /Statistic/Revenue responded 200 in 7397.2963 ms
[2025-10-06 09:20:49.773 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 10.7159 ms
[2025-10-06 09:21:15.622 +07:00 INF] HTTP GET /Home/Test responded 200 in 81.4585 ms
[2025-10-06 09:21:17.244 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 3.7980 ms
[2025-10-06 09:23:54.666 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 9.5171 ms
[2025-10-06 09:24:02.239 +07:00 INF] HTTP GET /Home/Test responded 200 in 13.8915 ms
